time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-05-14T14:23:15.001Z,61.9456,-149.2418,34,2.5,ml,,,,0.63,ak,ak01965uhj84,2019-05-14T14:30:24.411Z,"22km N of Fishhook, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-05-14T14:09:09.950Z,38.7566667,-122.7178333,2.08,0.47,md,19,57,0.007375,0.08,nc,nc73181510,2019-05-14T17:05:03.584Z,"3km SW of Anderson Springs, CA",earthquake,0.25,0.46,0.308,2,reviewed,nc,nc
2019-05-14T14:06:24.573Z,59.4833,-152.142,52.3,2.5,ml,,,,0.44,ak,ak01965udwte,2019-05-14T17:17:57.133Z,"37km WSW of Homer, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-05-14T14:01:13.294Z,37.2541,-115.0747,0,1.7,ml,4,206.75,0.154,0.2191,nn,nn00684746,2019-05-14T21:35:05.896Z,"14km SSE of Alamo, Nevada",earthquake,,0,0,1,reviewed,nn,nn
2019-05-14T13:43:48.009Z,37.2405,-115.0027,5,2.6,ml,18,76.62,0.171,0.182,nn,nn00684744,2019-05-14T20:50:04.075Z,"19km SE of Alamo, Nevada",earthquake,,7.7,0.66,4,reviewed,nn,nn
2019-05-14T13:38:20.664Z,-4.1886,152.6603,10,5,mb,,67,0.495,1.13,us,us70003l05,2019-05-14T14:23:21.040Z,"47km ENE of Kokopo, Papua New Guinea",earthquake,6.8,1.9,0.077,54,reviewed,us,us
2019-05-14T13:36:27.098Z,62.9627,-150.4004,92.2,2.1,ml,,,,0.63,ak,ak01965tyww1,2019-05-14T19:56:14.581Z,"72km NNW of Talkeetna, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2019-05-14T13:35:15.408Z,60.9588,-150.3743,9.9,1.7,ml,,,,0.7,ak,ak01965tynja,2019-05-14T16:42:30.524Z,"38km SW of Anchorage, Alaska",earthquake,,1,,,reviewed,ak,ak
2019-05-14T13:10:21.630Z,35.8293333,-117.5463333,1.58,0.47,ml,12,139,0.04375,0.11,ci,ci38593512,2019-05-14T18:02:18.482Z,"15km WNW of Searles Valley, CA",earthquake,0.22,0.26,0.038,5,reviewed,ci,ci
2019-05-14T13:08:38.720Z,37.4773333,-118.694,14.44,1.5,md,26,111,0.1555,0.04,nc,nc73181500,2019-05-14T19:42:03.492Z,"10km S of Toms Place, CA",earthquake,0.36,1.18,0.183,24,reviewed,nc,nc
2019-05-14T13:04:50.567Z,58.0148,-156.0621,114.8,1.9,ml,,,,0.76,ak,ak01965ts39n,2019-05-14T13:25:08.055Z,"82km SSE of King Salmon, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-05-14T13:03:59.699Z,65.8679,-156.2925,4.3,1.3,ml,,,,0.48,ak,ak01965truf7,2019-05-14T13:06:50.420Z,"118km SSE of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-05-14T13:03:28.829Z,63.5368,-150.6636,11,0.9,ml,,,,0.53,ak,ak01965trueq,2019-05-14T13:06:50.797Z,"86km WNW of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-05-14T13:00:29.051Z,66.5825,-150.8586,0,1.1,ml,,,,0.58,ak,ak01965tr7a3,2019-05-14T13:05:09.284Z,"79km E of New Allakaket, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-05-14T12:58:26.074Z,-4.081,152.5694,10,7.5,mww,,24,0.419,1.48,us,us70003kyy,2019-05-14T21:35:01.058Z,"45km NE of Kokopo, Papua New Guinea",earthquake,7.6,1.8,0.068,21,reviewed,us,us
2019-05-14T12:39:01.091Z,37.2135,-116.1225,1.9,0.7,ml,33,102.02,0.009,0.1831,nn,nn00684731,2019-05-14T18:26:48.290Z,"65km ENE of Beatty, Nevada",earthquake,,1.3,0.38,21,reviewed,nn,nn
2019-05-14T12:31:12.501Z,59.9233,-139.2784,0.1,1.5,ml,,,,0.77,ak,ak01965tcdl5,2019-05-14T16:42:30.158Z,"48km NNE of Yakutat, Alaska",ice quake,,0.4,,,automatic,ak,ak
2019-05-14T12:26:55.071Z,59.8539,-152.5903,94.1,1.8,ml,,,,0.65,ak,ak01965tbe86,2019-05-14T12:31:40.689Z,"43km WNW of Anchor Point, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-05-14T12:14:04.820Z,46.9491666666667,-121.972833333333,11.93,0.96,ml,20,78,,0.15,uw,uw61522616,2019-05-14T16:52:38.520Z,"24km SSE of Prairie Ridge, Washington",earthquake,0.31,0.68,0.201889809104731,10,reviewed,uw,uw
2019-05-14T12:12:12.012Z,61.3606,-150.0092,30.9,2,ml,,,,0.49,ak,ak01965t8axv,2019-05-14T12:16:46.904Z,"16km NNW of Anchorage, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-05-14T12:11:35.060Z,17.9543,-66.3658,11,1.54,md,5,316,0.2451,0.15,pr,pr2019134006,2019-05-14T16:22:18.566Z,"1km S of Jauca, Puerto Rico",earthquake,1.05,0.65,0.01,3,reviewed,pr,pr
2019-05-14T11:59:01.237Z,38.2823,-118.735,11.7,1.3,ml,18,46.71,0.177,0.186,nn,nn00684730,2019-05-14T18:05:08.426Z,"28km SSW of Hawthorne, Nevada",earthquake,,2.8,0.16,5,reviewed,nn,nn
2019-05-14T11:58:23.646Z,60.8801,-150.4627,17.7,1.3,ml,,,,0.68,ak,ak01965swr6k,2019-05-14T12:01:23.064Z,"41km NNE of Sterling, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-05-14T11:57:48.590Z,38.8183327,-122.8143311,2.69,1.12,md,22,48,0.006051,0.03,nc,nc73181490,2019-05-14T14:01:02.591Z,"7km NW of The Geysers, CA",earthquake,0.27,0.45,0.1,5,automatic,nc,nc
2019-05-14T11:32:53.490Z,38.326,-113.0708333,-0.03,1.97,ml,16,91,0.04648,0.22,uu,uu60324742,2019-05-14T14:05:53.970Z,"9km SSW of Milford, Utah",earthquake,0.7,1.69,0.13,2,reviewed,uu,uu
2019-05-14T11:23:16.720Z,38.828167,-122.8519974,1.79,0.57,md,10,115,0.003859,0.01,nc,nc73181485,2019-05-14T13:36:03.455Z,"10km NW of The Geysers, CA",earthquake,0.38,0.59,,1,automatic,nc,nc
2019-05-14T11:16:36.696Z,-39.4104,178.395,10,5.2,mww,,73,1.358,0.98,us,us70003kxm,2019-05-14T20:51:46.040Z,"90km SSE of Gisborne, New Zealand",earthquake,6.5,1.9,0.073,18,reviewed,us,us
2019-05-14T11:13:18.542Z,38.2865,-118.755,5.7,1.1,ml,11,84.98,0.2,0.1427,nn,nn00684729,2019-05-14T17:49:38.003Z,"28km SSW of Hawthorne, Nevada",earthquake,,7.6,0.09,3,reviewed,nn,nn
2019-05-14T11:03:58.204Z,60.3664,-151.0466,49.5,1.3,ml,,,,0.41,ak,ak01965sl1gv,2019-05-14T11:07:51.908Z,"13km S of Soldotna, Alaska",earthquake,,1,,,automatic,ak,ak
2019-05-14T11:02:15.390Z,36.1301667,-117.6688333,6.18,0.7,ml,9,94,0.06221,0.1,ci,ci38593384,2019-05-14T13:45:13.596Z,"27km ENE of Coso Junction, CA",earthquake,0.29,1.11,0.125,5,reviewed,ci,ci
